date,hour,day,weather,season,festival,stock_start,sold,remaining,price
2025-01-04,10:00,Saturday,Cold Clear,Winter,None,927,79,848,249.35
2025-01-04,11:00,Saturday,Cold Clear,Winter,None,848,63,785,249.35
2025-01-04,12:00,Saturday,Cold Clear,Winter,None,785,79,706,249.35
2025-01-04,13:00,Saturday,Cold Clear,Winter,None,706,85,621,249.35
2025-01-04,14:00,Saturday,Cold Clear,Winter,None,621,82,539,249.35
2025-01-04,15:00,Saturday,Cold Clear,Winter,None,539,58,481,249.35
2025-01-04,16:00,Saturday,Cold Clear,Winter,None,481,65,416,249.35
2025-01-04,17:00,Saturday,Cold Clear,Winter,None,416,62,354,249.35
2025-01-04,18:00,Saturday,Cold Clear,Winter,None,354,71,283,249.35
2025-01-04,19:00,Saturday,Cold Clear,Winter,None,283,112,171,249.35
2025-01-04,20:00,Saturday,Cold Clear,Winter,None,171,78,93,249.35
2025-01-05,06:00,Sunday,Mild,Winter,None,1134,26,1108,238.15
2025-01-05,07:00,Sunday,Mild,Winter,None,1108,28,1080,238.15
2025-01-05,08:00,Sunday,Mild,Winter,None,1080,48,1032,238.15
2025-01-05,09:00,Sunday,Mild,Winter,None,1032,75,957,238.15
2025-01-05,10:00,Sunday,Mild,Winter,None,957,70,887,238.15
2025-01-05,11:00,Sunday,Mild,Winter,None,887,99,788,238.15
2025-01-05,12:00,Sunday,Mild,Winter,None,788,48,740,238.15
2025-01-05,13:00,Sunday,Mild,Winter,None,740,97,643,238.15
2025-01-05,14:00,Sunday,Mild,Winter,None,643,75,568,238.15
2025-01-05,15:00,Sunday,Mild,Winter,None,568,63,505,238.15
2025-01-05,16:00,Sunday,Mild,Winter,None,505,72,433,238.15
2025-01-05,17:00,Sunday,Mild,Winter,None,433,53,380,238.15
2025-01-05,18:00,Sunday,Mild,Winter,None,380,91,289,238.15
2025-01-05,19:00,Sunday,Mild,Winter,None,289,109,180,238.15
2025-01-05,20:00,Sunday,Mild,Winter,None,180,84,96,238.15
2025-01-06,06:00,Monday,Cold Clear,Winter,None,951,16,935,234.6
2025-01-06,07:00,Monday,Cold Clear,Winter,None,935,19,916,234.6
2025-01-06,08:00,Monday,Cold Clear,Winter,None,916,30,886,234.6
2025-01-06,09:00,Monday,Cold Clear,Winter,None,886,49,837,234.6
2025-01-06,10:00,Monday,Cold Clear,Winter,None,837,52,785,234.6
2025-01-06,11:00,Monday,Cold Clear,Winter,None,785,50,735,234.6
2025-01-06,12:00,Monday,Cold Clear,Winter,None,735,68,667,234.6
2025-01-06,13:00,Monday,Cold Clear,Winter,None,667,60,607,234.6
2025-01-06,14:00,Monday,Cold Clear,Winter,None,607,61,546,234.6
2025-01-06,15:00,Monday,Cold Clear,Winter,None,546,42,504,234.6
2025-01-06,16:00,Monday,Cold Clear,Winter,None,504,47,457,234.6
2025-01-06,17:00,Monday,Cold Clear,Winter,None,457,54,403,234.6
2025-01-06,18:00,Monday,Cold Clear,Winter,None,403,50,353,234.6
2025-01-06,19:00,Monday,Cold Clear,Winter,None,353,72,281,234.6
2025-01-06,20:00,Monday,Cold Clear,Winter,None,281,50,231,234.6
2025-01-07,06:00,Tuesday,Cold Clear,Winter,None,991,23,968,236.6
2025-01-07,07:00,Tuesday,Cold Clear,Winter,None,968,22,946,236.6
2025-01-07,08:00,Tuesday,Cold Clear,Winter,None,946,28,918,236.6
2025-01-07,09:00,Tuesday,Cold Clear,Winter,None,918,38,880,236.6
2025-01-07,10:00,Tuesday,Cold Clear,Winter,None,880,47,833,236.6
2025-01-07,11:00,Tuesday,Cold Clear,Winter,None,833,51,782,236.6
2025-01-07,12:00,Tuesday,Cold Clear,Winter,None,782,41,741,236.6
2025-01-07,13:00,Tuesday,Cold Clear,Winter,None,741,76,665,236.6
2025-01-07,14:00,Tuesday,Cold Clear,Winter,None,665,54,611,236.6
2025-01-07,15:00,Tuesday,Cold Clear,Winter,None,611,49,562,236.6
2025-01-07,16:00,Tuesday,Cold Clear,Winter,None,562,59,503,236.6
2025-01-07,17:00,Tuesday,Cold Clear,Winter,None,503,49,454,236.6
2025-01-07,18:00,Tuesday,Cold Clear,Winter,None,454,60,394,236.6
2025-01-07,19:00,Tuesday,Cold Clear,Winter,None,394,82,312,236.6
2025-01-07,20:00,Tuesday,Cold Clear,Winter,None,312,49,263,236.6
2025-01-08,06:00,Wednesday,Cold Clear,Winter,None,1015,20,995,228.6
2025-01-08,07:00,Wednesday,Cold Clear,Winter,None,995,29,966,228.6
2025-01-08,08:00,Wednesday,Cold Clear,Winter,None,966,41,925,228.6
2025-01-08,09:00,Wednesday,Cold Clear,Winter,None,925,25,900,228.6
2025-01-08,10:00,Wednesday,Cold Clear,Winter,None,900,66,834,228.6
2025-01-08,11:00,Wednesday,Cold Clear,Winter,None,834,80,754,228.6
2025-01-08,12:00,Wednesday,Cold Clear,Winter,None,754,81,673,228.6
2025-01-08,13:00,Wednesday,Cold Clear,Winter,None,673,61,612,228.6
2025-01-08,14:00,Wednesday,Cold Clear,Winter,None,612,49,563,228.6
2025-01-08,15:00,Wednesday,Cold Clear,Winter,None,563,57,506,228.6
2025-01-08,16:00,Wednesday,Cold Clear,Winter,None,506,47,459,228.6
2025-01-08,17:00,Wednesday,Cold Clear,Winter,None,459,65,394,228.6
2025-01-08,18:00,Wednesday,Cold Clear,Winter,None,394,71,323,228.6
2025-01-08,19:00,Wednesday,Cold Clear,Winter,None,323,95,228,228.6
2025-01-08,20:00,Wednesday,Cold Clear,Winter,None,228,47,181,228.6
2025-01-09,06:00,Thursday,Sunny,Winter,None,992,19,973,232
2025-01-09,07:00,Thursday,Sunny,Winter,None,973,23,950,232
2025-01-09,08:00,Thursday,Sunny,Winter,None,950,25,925,232
2025-01-09,09:00,Thursday,Sunny,Winter,None,925,36,889,232
2025-01-09,10:00,Thursday,Sunny,Winter,None,889,55,834,232
2025-01-09,11:00,Thursday,Sunny,Winter,None,834,58,776,232
2025-01-09,12:00,Thursday,Sunny,Winter,None,776,53,723,232
2025-01-09,13:00,Thursday,Sunny,Winter,None,723,55,668,232
2025-01-09,14:00,Thursday,Sunny,Winter,None,668,49,619,232
2025-01-09,15:00,Thursday,Sunny,Winter,None,619,50,569,232
2025-01-09,16:00,Thursday,Sunny,Winter,None,569,57,512,232
2025-01-09,17:00,Thursday,Sunny,Winter,None,512,56,456,232
2025-01-09,18:00,Thursday,Sunny,Winter,None,456,77,379,232
2025-01-09,19:00,Thursday,Sunny,Winter,None,379,81,298,232
2025-01-09,20:00,Thursday,Sunny,Winter,None,298,47,251,232
2025-01-10,06:00,Friday,Sunny,Winter,None,926,13,913,245.75
2025-01-10,07:00,Friday,Sunny,Winter,None,913,23,890,245.75
2025-01-10,08:00,Friday,Sunny,Winter,None,890,41,849,245.75
2025-01-10,09:00,Friday,Sunny,Winter,None,849,32,817,245.75
2025-01-10,10:00,Friday,Sunny,Winter,None,817,53,764,245.75
2025-01-10,11:00,Friday,Sunny,Winter,None,764,59,705,245.75
2025-01-10,12:00,Friday,Sunny,Winter,None,705,73,632,245.75
2025-01-10,13:00,Friday,Sunny,Winter,None,632,48,584,245.75
2025-01-10,14:00,Friday,Sunny,Winter,None,584,43,541,245.75
2025-01-10,15:00,Friday,Sunny,Winter,None,541,53,488,245.75
2025-01-10,16:00,Friday,Sunny,Winter,None,488,54,434,245.75
2025-01-10,17:00,Friday,Sunny,Winter,None,434,62,372,245.75
2025-01-10,18:00,Friday,Sunny,Winter,None,372,74,298,245.75
2025-01-10,19:00,Friday,Sunny,Winter,None,298,67,231,245.75
2025-01-10,20:00,Friday,Sunny,Winter,None,231,50,181,245.75
2025-01-11,06:00,Saturday,Cold Clear,Winter,None,1107,25,1082,244.35
2025-01-11,07:00,Saturday,Cold Clear,Winter,None,1082,27,1055,244.35
2025-01-11,08:00,Saturday,Cold Clear,Winter,None,1055,59,996,244.35
2025-01-11,09:00,Saturday,Cold Clear,Winter,None,996,63,933,244.35
2025-01-11,10:00,Saturday,Cold Clear,Winter,None,933,54,879,244.35
2025-01-11,11:00,Saturday,Cold Clear,Winter,None,879,84,795,244.35
2025-01-11,12:00,Saturday,Cold Clear,Winter,None,795,71,724,244.35
2025-01-11,13:00,Saturday,Cold Clear,Winter,None,724,94,630,244.35
2025-01-11,14:00,Saturday,Cold Clear,Winter,None,630,85,545,244.35
2025-01-11,15:00,Saturday,Cold Clear,Winter,None,545,56,489,244.35
2025-01-11,16:00,Saturday,Cold Clear,Winter,None,489,80,409,244.35
2025-01-11,17:00,Saturday,Cold Clear,Winter,None,409,84,325,244.35
2025-01-11,18:00,Saturday,Cold Clear,Winter,None,325,106,219,244.35
2025-01-11,19:00,Saturday,Cold Clear,Winter,None,219,134,85,244.35
2025-01-11,20:00,Saturday,Cold Clear,Winter,None,85,63,22,244.35
2025-01-12,06:00,Sunday,Foggy,Winter,None,1179,21,1158,239.15
2025-01-12,07:00,Sunday,Foggy,Winter,None,1158,31,1127,239.15
2025-01-12,08:00,Sunday,Foggy,Winter,None,1127,49,1078,239.15
2025-01-12,09:00,Sunday,Foggy,Winter,None,1078,59,1019,239.15
2025-01-12,10:00,Sunday,Foggy,Winter,None,1019,81,938,239.15
2025-01-12,11:00,Sunday,Foggy,Winter,None,938,97,841,239.15
2025-01-12,12:00,Sunday,Foggy,Winter,None,841,67,774,239.15
2025-01-12,13:00,Sunday,Foggy,Winter,None,774,98,676,239.15
2025-01-12,14:00,Sunday,Foggy,Winter,None,676,80,596,239.15
2025-01-12,15:00,Sunday,Foggy,Winter,None,596,67,529,239.15
2025-01-12,16:00,Sunday,Foggy,Winter,None,529,52,477,239.15
2025-01-12,17:00,Sunday,Foggy,Winter,None,477,102,375,239.15
2025-01-12,18:00,Sunday,Foggy,Winter,None,375,102,273,239.15
2025-01-12,19:00,Sunday,Foggy,Winter,None,273,72,201,239.15
2025-01-12,20:00,Sunday,Foggy,Winter,None,201,65,136,239.15
2025-01-13,06:00,Monday,Mild,Winter,Lohri,1024,19,1005,236.9
2025-01-13,07:00,Monday,Mild,Winter,Lohri,1005,27,978,236.9
2025-01-13,08:00,Monday,Mild,Winter,Lohri,978,33,945,236.9
2025-01-13,09:00,Monday,Mild,Winter,Lohri,945,54,891,236.9
2025-01-13,10:00,Monday,Mild,Winter,Lohri,891,66,825,236.9
2025-01-13,11:00,Monday,Mild,Winter,Lohri,825,58,767,236.9
2025-01-13,12:00,Monday,Mild,Winter,Lohri,767,58,709,236.9
2025-01-13,13:00,Monday,Mild,Winter,Lohri,709,60,649,236.9
2025-01-13,14:00,Monday,Mild,Winter,Lohri,649,66,583,236.9
2025-01-13,15:00,Monday,Mild,Winter,Lohri,583,53,530,236.9
2025-01-13,16:00,Monday,Mild,Winter,Lohri,530,62,468,236.9
2025-01-13,17:00,Monday,Mild,Winter,Lohri,468,83,385,236.9
2025-01-13,18:00,Monday,Mild,Winter,Lohri,385,79,306,236.9
2025-01-13,19:00,Monday,Mild,Winter,Lohri,306,70,236,236.9
2025-01-13,20:00,Monday,Mild,Winter,Lohri,236,62,174,236.9
2025-01-14,06:00,Tuesday,Sunny,Winter,Makar Sankranti,952,15,937,232.25
2025-01-14,07:00,Tuesday,Sunny,Winter,Makar Sankranti,937,17,920,232.25
2025-01-14,08:00,Tuesday,Sunny,Winter,Makar Sankranti,920,35,885,232.25
2025-01-14,09:00,Tuesday,Sunny,Winter,Makar Sankranti,885,43,842,232.25
2025-01-14,10:00,Tuesday,Sunny,Winter,Makar Sankranti,842,39,803,232.25
2025-01-14,11:00,Tuesday,Sunny,Winter,Makar Sankranti,803,51,752,232.25
2025-01-14,12:00,Tuesday,Sunny,Winter,Makar Sankranti,752,57,695,232.25
2025-01-14,13:00,Tuesday,Sunny,Winter,Makar Sankranti,695,53,642,232.25
2025-01-14,14:00,Tuesday,Sunny,Winter,Makar Sankranti,642,52,590,232.25
2025-01-14,15:00,Tuesday,Sunny,Winter,Makar Sankranti,590,52,538,232.25
2025-01-14,16:00,Tuesday,Sunny,Winter,Makar Sankranti,538,44,494,232.25
2025-01-14,17:00,Tuesday,Sunny,Winter,Makar Sankranti,494,62,432,232.25
2025-01-14,18:00,Tuesday,Sunny,Winter,Makar Sankranti,432,69,363,232.25
2025-01-14,19:00,Tuesday,Sunny,Winter,Makar Sankranti,363,65,298,232.25
2025-01-14,20:00,Tuesday,Sunny,Winter,Makar Sankranti,298,43,255,232.25
2025-01-15,06:00,Wednesday,Foggy,Winter,None,1011,16,995,226.4
2025-01-15,07:00,Wednesday,Foggy,Winter,None,995,17,978,226.4
2025-01-15,08:00,Wednesday,Foggy,Winter,None,978,28,950,226.4
2025-01-15,09:00,Wednesday,Foggy,Winter,None,950,35,915,226.4
2025-01-15,10:00,Wednesday,Foggy,Winter,None,915,30,885,226.4
2025-01-15,11:00,Wednesday,Foggy,Winter,None,885,53,832,226.4
2025-01-15,12:00,Wednesday,Foggy,Winter,None,832,52,780,226.4
2025-01-15,13:00,Wednesday,Foggy,Winter,None,780,54,726,226.4
2025-01-15,14:00,Wednesday,Foggy,Winter,None,726,40,686,226.4
2025-01-15,15:00,Wednesday,Foggy,Winter,None,686,40,646,226.4
2025-01-15,16:00,Wednesday,Foggy,Winter,None,646,57,589,226.4
2025-01-15,17:00,Wednesday,Foggy,Winter,None,589,53,536,226.4
2025-01-15,18:00,Wednesday,Foggy,Winter,None,536,66,470,226.4
2025-01-15,19:00,Wednesday,Foggy,Winter,None,470,51,419,226.4
2025-01-15,20:00,Wednesday,Foggy,Winter,None,419,59,360,226.4
2025-01-16,06:00,Thursday,Sunny,Winter,None,971,22,949,242
2025-01-16,07:00,Thursday,Sunny,Winter,None,949,21,928,242
2025-01-16,08:00,Thursday,Sunny,Winter,None,928,33,895,242
2025-01-16,09:00,Thursday,Sunny,Winter,None,895,47,848,242
2025-01-16,10:00,Thursday,Sunny,Winter,None,848,41,807,242
2025-01-16,11:00,Thursday,Sunny,Winter,None,807,47,760,242
2025-01-16,12:00,Thursday,Sunny,Winter,None,760,42,718,242
2025-01-16,13:00,Thursday,Sunny,Winter,None,718,49,669,242
2025-01-16,14:00,Thursday,Sunny,Winter,None,669,64,605,242
2025-01-16,15:00,Thursday,Sunny,Winter,None,605,42,563,242
2025-01-16,16:00,Thursday,Sunny,Winter,None,563,44,519,242
2025-01-16,17:00,Thursday,Sunny,Winter,None,519,56,463,242
2025-01-16,18:00,Thursday,Sunny,Winter,None,463,46,417,242
2025-01-16,19:00,Thursday,Sunny,Winter,None,417,81,336,242
2025-01-16,20:00,Thursday,Sunny,Winter,None,336,55,281,242
2025-01-17,06:00,Friday,Foggy,Winter,None,935,14,921,235.15
2025-01-17,07:00,Friday,Foggy,Winter,None,921,27,894,235.15
2025-01-17,08:00,Friday,Foggy,Winter,None,894,25,869,235.15
2025-01-17,09:00,Friday,Foggy,Winter,None,869,42,827,235.15
2025-01-17,10:00,Friday,Foggy,Winter,None,827,45,782,235.15
2025-01-17,11:00,Friday,Foggy,Winter,None,782,45,737,235.15
2025-01-17,12:00,Friday,Foggy,Winter,None,737,66,671,235.15
2025-01-17,13:00,Friday,Foggy,Winter,None,671,63,608,235.15
2025-01-17,14:00,Friday,Foggy,Winter,None,608,46,562,235.15
2025-01-17,15:00,Friday,Foggy,Winter,None,562,29,533,235.15
2025-01-17,16:00,Friday,Foggy,Winter,None,533,44,489,235.15
2025-01-17,17:00,Friday,Foggy,Winter,None,489,57,432,235.15
2025-01-17,18:00,Friday,Foggy,Winter,None,432,65,367,235.15
2025-01-17,19:00,Friday,Foggy,Winter,None,367,79,288,235.15
2025-01-17,20:00,Friday,Foggy,Winter,None,288,61,227,235.15
2025-01-18,06:00,Saturday,Sunny,Winter,None,1149,26,1123,236.75
2025-01-18,07:00,Saturday,Sunny,Winter,None,1123,32,1091,236.75
2025-01-18,08:00,Saturday,Sunny,Winter,None,1091,43,1048,236.75
2025-01-18,09:00,Saturday,Sunny,Winter,None,1048,62,986,236.75
2025-01-18,10:00,Saturday,Sunny,Winter,None,986,79,907,236.75
2025-01-18,11:00,Saturday,Sunny,Winter,None,907,101,806,236.75
2025-01-18,12:00,Saturday,Sunny,Winter,None,806,70,736,236.75
2025-01-18,13:00,Saturday,Sunny,Winter,None,736,117,619,236.75
2025-01-18,14:00,Saturday,Sunny,Winter,None,619,49,570,236.75
2025-01-18,15:00,Saturday,Sunny,Winter,None,570,66,504,236.75
2025-01-18,16:00,Saturday,Sunny,Winter,None,504,79,425,236.75
2025-01-18,17:00,Saturday,Sunny,Winter,None,425,85,340,236.75
2025-01-18,18:00,Saturday,Sunny,Winter,None,340,86,254,236.75
2025-01-18,19:00,Saturday,Sunny,Winter,None,254,99,155,236.75
2025-01-18,20:00,Saturday,Sunny,Winter,None,155,62,93,236.75
2025-01-19,06:00,Sunday,Mild,Winter,None,1159,24,1135,237.15
2025-01-19,07:00,Sunday,Mild,Winter,None,1135,24,1111,237.15
2025-01-19,08:00,Sunday,Mild,Winter,None,1111,38,1073,237.15
2025-01-19,09:00,Sunday,Mild,Winter,None,1073,74,999,237.15
2025-01-19,10:00,Sunday,Mild,Winter,None,999,77,922,237.15
2025-01-19,11:00,Sunday,Mild,Winter,None,922,77,845,237.15
2025-01-19,12:00,Sunday,Mild,Winter,None,845,54,791,237.15
2025-01-19,13:00,Sunday,Mild,Winter,None,791,107,684,237.15
2025-01-19,14:00,Sunday,Mild,Winter,None,684,100,584,237.15
2025-01-19,15:00,Sunday,Mild,Winter,None,584,89,495,237.15
2025-01-19,16:00,Sunday,Mild,Winter,None,495,64,431,237.15
2025-01-19,17:00,Sunday,Mild,Winter,None,431,88,343,237.15
2025-01-19,18:00,Sunday,Mild,Winter,None,343,106,237,237.15
2025-01-19,19:00,Sunday,Mild,Winter,None,237,77,160,237.15
2025-01-19,20:00,Sunday,Mild,Winter,None,160,71,89,237.15
2025-01-20,06:00,Monday,Cold Clear,Winter,None,974,21,953,240.6
2025-01-20,07:00,Monday,Cold Clear,Winter,None,953,19,934,240.6
2025-01-20,08:00,Monday,Cold Clear,Winter,None,934,36,898,240.6
2025-01-20,09:00,Monday,Cold Clear,Winter,None,898,48,850,240.6
2025-01-20,10:00,Monday,Cold Clear,Winter,None,850,30,820,240.6
2025-01-20,11:00,Monday,Cold Clear,Winter,None,820,31,789,240.6
2025-01-20,12:00,Monday,Cold Clear,Winter,None,789,63,726,240.6
2025-01-20,13:00,Monday,Cold Clear,Winter,None,726,55,671,240.6
2025-01-20,14:00,Monday,Cold Clear,Winter,None,671,51,620,240.6
2025-01-20,15:00,Monday,Cold Clear,Winter,None,620,45,575,240.6
2025-01-20,16:00,Monday,Cold Clear,Winter,None,575,59,516,240.6
2025-01-20,17:00,Monday,Cold Clear,Winter,None,516,60,456,240.6
2025-01-20,18:00,Monday,Cold Clear,Winter,None,456,72,384,240.6
2025-01-20,19:00,Monday,Cold Clear,Winter,None,384,57,327,240.6
2025-01-20,20:00,Monday,Cold Clear,Winter,None,327,22,305,240.6
2025-01-21,06:00,Tuesday,Cold Clear,Winter,None,988,21,967,230.6
2025-01-21,07:00,Tuesday,Cold Clear,Winter,None,967,31,936,230.6
2025-01-21,08:00,Tuesday,Cold Clear,Winter,None,936,31,905,230.6
2025-01-21,09:00,Tuesday,Cold Clear,Winter,None,905,45,860,230.6
2025-01-21,10:00,Tuesday,Cold Clear,Winter,None,860,54,806,230.6
2025-01-21,11:00,Tuesday,Cold Clear,Winter,None,806,73,733,230.6
2025-01-21,12:00,Tuesday,Cold Clear,Winter,None,733,74,659,230.6
2025-01-21,13:00,Tuesday,Cold Clear,Winter,None,659,67,592,230.6
2025-01-21,14:00,Tuesday,Cold Clear,Winter,None,592,55,537,230.6
2025-01-21,15:00,Tuesday,Cold Clear,Winter,None,537,49,488,230.6
2025-01-21,16:00,Tuesday,Cold Clear,Winter,None,488,39,449,230.6
2025-01-21,17:00,Tuesday,Cold Clear,Winter,None,449,56,393,230.6
2025-01-21,18:00,Tuesday,Cold Clear,Winter,None,393,80,313,230.6
2025-01-21,19:00,Tuesday,Cold Clear,Winter,None,313,74,239,230.6
2025-01-21,20:00,Tuesday,Cold Clear,Winter,None,239,49,190,230.6
2025-01-22,06:00,Wednesday,Cold Clear,Winter,None,927,13,914,243.6
2025-01-22,07:00,Wednesday,Cold Clear,Winter,None,914,22,892,243.6
2025-01-22,08:00,Wednesday,Cold Clear,Winter,None,892,31,861,243.6
2025-01-22,09:00,Wednesday,Cold Clear,Winter,None,861,28,833,243.6
2025-01-22,10:00,Wednesday,Cold Clear,Winter,None,833,57,776,243.6
2025-01-22,11:00,Wednesday,Cold Clear,Winter,None,776,52,724,243.6
2025-01-22,12:00,Wednesday,Cold Clear,Winter,None,724,79,645,243.6
2025-01-22,13:00,Wednesday,Cold Clear,Winter,None,645,73,572,243.6
2025-01-22,14:00,Wednesday,Cold Clear,Winter,None,572,43,529,243.6
2025-01-22,15:00,Wednesday,Cold Clear,Winter,None,529,39,490,243.6
2025-01-22,16:00,Wednesday,Cold Clear,Winter,None,490,39,451,243.6
2025-01-22,17:00,Wednesday,Cold Clear,Winter,None,451,40,411,243.6
2025-01-22,18:00,Wednesday,Cold Clear,Winter,None,411,61,350,243.6
2025-01-22,19:00,Wednesday,Cold Clear,Winter,None,350,88,262,243.6
2025-01-22,20:00,Wednesday,Cold Clear,Winter,None,262,30,232,243.6
2025-01-23,06:00,Thursday,Sunny,Winter,None,991,19,972,235
2025-01-23,07:00,Thursday,Sunny,Winter,None,972,25,947,235
2025-01-23,08:00,Thursday,Sunny,Winter,None,947,28,919,235
2025-01-23,09:00,Thursday,Sunny,Winter,None,919,31,888,235
2025-01-23,10:00,Thursday,Sunny,Winter,None,888,41,847,235
2025-01-23,11:00,Thursday,Sunny,Winter,None,847,52,795,235
2025-01-23,12:00,Thursday,Sunny,Winter,None,795,34,761,235
2025-01-23,13:00,Thursday,Sunny,Winter,None,761,69,692,235
2025-01-23,14:00,Thursday,Sunny,Winter,None,692,33,659,235
2025-01-23,15:00,Thursday,Sunny,Winter,None,659,50,609,235
2025-01-23,16:00,Thursday,Sunny,Winter,None,609,46,563,235
2025-01-23,17:00,Thursday,Sunny,Winter,None,563,58,505,235
2025-01-23,18:00,Thursday,Sunny,Winter,None,505,59,446,235
2025-01-23,19:00,Thursday,Sunny,Winter,None,446,73,373,235
2025-01-23,20:00,Thursday,Sunny,Winter,None,373,42,331,235
2025-01-24,06:00,Friday,Foggy,Winter,None,920,15,905,231.15
2025-01-24,07:00,Friday,Foggy,Winter,None,905,20,885,231.15
2025-01-24,08:00,Friday,Foggy,Winter,None,885,35,850,231.15
2025-01-24,09:00,Friday,Foggy,Winter,None,850,29,821,231.15
2025-01-24,10:00,Friday,Foggy,Winter,None,821,53,768,231.15
2025-01-24,11:00,Friday,Foggy,Winter,None,768,50,718,231.15
2025-01-24,12:00,Friday,Foggy,Winter,None,718,45,673,231.15
2025-01-24,13:00,Friday,Foggy,Winter,None,673,67,606,231.15
2025-01-24,14:00,Friday,Foggy,Winter,None,606,33,573,231.15
2025-01-24,15:00,Friday,Foggy,Winter,None,573,29,544,231.15
2025-01-24,16:00,Friday,Foggy,Winter,None,544,49,495,231.15
2025-01-24,17:00,Friday,Foggy,Winter,None,495,60,435,231.15
2025-01-24,18:00,Friday,Foggy,Winter,None,435,74,361,231.15
2025-01-24,19:00,Friday,Foggy,Winter,None,361,78,283,231.15
2025-01-24,20:00,Friday,Foggy,Winter,None,283,56,227,231.15
2025-01-25,06:00,Saturday,Sunny,Winter,None,1125,23,1102,247.75
2025-01-25,07:00,Saturday,Sunny,Winter,None,1102,26,1076,247.75
2025-01-25,08:00,Saturday,Sunny,Winter,None,1076,45,1031,247.75
2025-01-25,09:00,Saturday,Sunny,Winter,None,1031,75,956,247.75
2025-01-25,10:00,Saturday,Sunny,Winter,None,956,62,894,247.75
2025-01-25,11:00,Saturday,Sunny,Winter,None,894,95,799,247.75
